Title,Date,Venue/Journal,Authors,Key word list
Restoration scheme of mobility databases by mobility learning and prediction in PCS networks,2001,IEEE Journal on Selected Areas in Communications,"Joon-Min Gil1, Chan Yeol Park1, Chong-Sun Hwang, Doo-Soon Park2, Jin Gon Shon3","['1Korea University,', '2Soonchunhyang University,', '3Korea National Open University']"
A dynamic resource reservation scheme with mobility prediction for wireless multimedia networks,2004,Vehicular Technology Conference,"Huei-Wen Ferng, Wen-Yan Kao, David Shiung, Chien-Liang Liu, Hsing-Yu Chen","['National Taiwan University of Science and Technology', 'Wireless network', 'Wireless']"
Mobility prediction for handover management in cellular networks with control/data separation,2015,International Conference on Communications,"Abdelrahim Mohamed1, Oluwakayode Onireti1, Seyed Amir Hoseinitabatabaei1, Muhammad Ali Imran1, Ali Imran2","['1University of Surrey,', '2University of Oklahoma', 'Robustness (computer science)']"
Performance and energy efficiency of mobile data offloading with mobility prediction and prefetching,2013,"World of Wireless, Mobile and Multimedia Networks","Vasilios A. Siris, Maria Anagnostopoulou","['Throughput', 'Small cell', 'Real-time computing']"
Content Download in Vehicular Networks in Presence of Noisy Mobility Prediction,2014,IEEE Transactions on Mobile Computing,"Francesco Malandrino1, Claudio Ettore Casetti1, Carla Fabiana Chiasserini1, Marco Fiore2","['2, CNRÂ¿IEIIT, Torino, Italy', 'Vehicular ad hoc network', 'Scheduling (computing)']"
Enhancing mobile data offloading with mobility prediction and prefetching,2013,Mobile Computing and Communications Review,"Vasilios A. Siris, Dimitrios Kalyvas","['Throughput', 'Robustness (computer science)', 'Real-time computing']"
MPaaS: Mobility prediction as a service in telecom cloud,2014,Information Systems Frontiers,"Haoyi Xiong1, Daqing Zhang1, Daqiang Zhang2, Vincent Gauthier1, Kun Yang3","['1Institut Mines-TÃ©lÃ©com,', '2Tongji University,', '3University of Essex']"
LipidCCS: Prediction of Collision Cross-Section Values for Lipids with High Precision To Support Ion Mobilityâ€“Mass Spectrometry-Based Lipidomics,2017,Analytical Chemistry,"Zhiwei Zhou, Jia Tu, Xin Xiong, Xiaotao Shen, Zheng-Jiang Zhu","['Mass spectrometry', 'Lipidomics', '+4']"
Evaluation of handover related statistics and the applicability of mobility modelling in their prediction,2000,"Personal, Indoor and Mobile Radio Communications","Stamatis Kourtis, Rahim Tafazolli","['Statistics', 'Residence time', 'Real-time computing']"
A novel ad hoc routing protocol research based on mobility prediction algorithm,2005,"International Conference on Wireless Communications, Networking and Mobile Computing","L.M. Meng, J.X. Zang, W.H. Fu, Z.J. Xu","['Wireless ad hoc network', 'Wireless Routing Protocol', 'Optimized Link State Routing Protocol']"
Statistical mobility prediction for planetary surface exploration rovers in uncertain terrain,2010,International Conference on Robotics and Automation,"Genya Ishigami, Gaurav Kewlani, Karl Iagnemma","['Vehicle dynamics', 'Terrain', 'Surface roughness']"
Routing protocol for ad hoc mobile networks using mobility prediction,2007,Ubiquitous Computing,"Werner Creixell, Kaoru Sezaki","['Zone Routing Protocol', 'Wireless Routing Protocol', 'Optimized Link State Routing Protocol']"
Mobility Prediction for Mobile Agent-Based Service Continuity in the Wireless Internet,2004,Lecture Notes in Computer Science,"Paolo Bellavista, Antonio Corradi, Carlo Giannelli","['Wireless network', 'Wi-Fi array', 'Web service']"
A geographic mobility prediction routing protocol for Ad Hoc UAV Network,2012,Global Communications Conference,"Lin Lin, Qibo Sun, Shangguang Wang, Fangchun Yang","['Zone Routing Protocol', 'Wireless Routing Protocol', 'Static routing']"
Cell stay time prediction for mobility independent predictive services in wireless networks,2005,Wireless Communications and Networking Conference,"F. De Rango, P. Fazio, S. Marano","['Wireless network', 'Wireless', 'Resource management']"
An energy-efficient DSR routing protocol based on mobility prediction,2006,"World of Wireless, Mobile and Multimedia Networks","Yuhong Luo, Jianxin Wang, Songqiao Chen","['Zone Routing Protocol', 'Wireless Routing Protocol', 'Optimized Link State Routing Protocol']"
A review of current mobility prediction techniques for ad hoc networks,2004,IASTED International Multi-Conference on Wireless and Optical Communications,"Robin Doss, A. Jennings, N. Shenoy","['Vehicular ad hoc network', 'Optimized Link State Routing Protocol', '+8']"
Artificial neural networks for the prediction of peptide drift time in ion mobility mass spectrometry,2010,BMC Bioinformatics,"Bing Wang1, 2, Steve Valentine3, Manolo Plasencia3, Sriram Raghuraman4, Xiang Zhang2","['2University of Louisville,', '3Indiana University Bloomington,', '4Predictive Physiology and Medicine Inc., Bloomington, USA']"
Mobility Modeling and Prediction in Bike-Sharing Systems,2016,"International Conference on Mobile Systems, Applications, and Services","Zidong Yang1, Ji Hu1, Yuanchao Shu2, Peng Cheng1, Jiming Chen1","['1Zhejiang University,', '2Microsoft', 'Software deployment']"
Fuzzy-cost based multiconstrained QoS routing with mobility prediction in MANETs,2012,Egyptian Informatics Journal,"G. Santhi, Alamelu Nachiappan","['Real-time computing', 'Quality of service', 'Fuzzy logic']"
Location prediction and mobility modelling for enhanced localization solution,2014,Ambient Intelligence,"Michela Papandrea, Silvia Giordano","['Unavailability', 'Simulation', 'Mobility model']"
Smart city mobility application-gradient boosting trees for mobility prediction and analysis based on crowdsourced data,2015,Sensors,"Ivana Semanjski, Sidharta Gautama","['Text mining', 'Smart city', 'Mobility model']"
A new Markov-based mobility prediction algorithm for mobile networks,2010,Arxiv,"Samir Bellahsene, LeÃ¯la Kloul","['Mobility model', 'Markov chain', 'Machine learning']"
Model Based Adaptive Mobility Prediction in Mobile Ad-Hoc Networks,2007,"International Conference on Wireless Communications, Networking and Mobile Computing","S. M. Mousavi, H. R. Rabiee, M. Moshref, A. Dabirmoghaddam","['Wireless ad hoc network', 'Topology control', 'Sampling (statistics)']"
Mobility prediction for wireless network resource management,2009,Southeastern Symposium on System Theory,"Pratap S. Prasad, Prathima Agrawal","['Wireless network', 'Roaming', 'Resource management']"
Accurate mobility modeling and location prediction based on pattern analysis of handover series in mobile networks,2009,Mobile Information Systems,"PÃ©ter FÃ_lÃ¶p1, SÃ¡ndor Imre2, SÃ¡ndor SzabÃ_1, TamÃ¡s SzÃ¡lka2","['2 szalkat ...', 'Mobility model', 'Mathematical model']"
The Sectorized Mobility Prediction Algorithm for Wireless Networks,2003,Arxiv,"Robin Chellappa1, Andrew Jennings1, Nirmala Shenoy2","['2Rochester Institute of Technology', 'Wireless network', 'Level of service']"
Mobility prediction's influence on QoS in wireless networks: a study on a call admission algorithm,2005,"Modeling and Optimization in Mobile, Ad-Hoc and Wireless Networks","Jean-Marc Francois, Guy Leduc","['Wireless network', 'Router', 'Quality of service']"
User mobility prediction in hybrid and ad hoc wireless networks,2003,Arxiv,"Robin Chellappa-Doss1, Andrew Jennings2, Nirmala Shenoy3","['2RMIT University,', '3Rochester Institute of Technology', 'Wireless network']"
Mobility prediction clustering algorithm for UAV networking,2011,Global Communications Conference,"Chunhua Zang, Shouhong Zang","['Trie', 'Real-time computing', 'Mobility model']"
User's mobility history-based mobility prediction in LTE femtocells network,2013,IEEE International RF and Microwave Conference,"Nurul Ain Amirrudin, Sharifah H. S. Ariffin, N. N. N. Abd Malik, N. Effiyana Ghazali","['Wireless network', 'Quality of service', 'Mobility model']"
Investigation of the Complete Suite of the Leucine and Isoleucine Isomers: Toward Prediction of Ion Mobility Separation Capabilities,2017,Analytical Chemistry,"James N. Dodds, Jody C. May, John A. McLean","['Isoleucine', 'Ion-mobility spectrometry', '+6']"
Learned Stochastic Mobility Prediction for Planning with Control Uncertainty on Unstructured Terrain,2014,Journal of Field Robotics,"Thierry Peynot1, Sin-Ting Lui2, Rowan McAllister3, Robert Fitch2, Salah Sukkarieh2","['2University of Sydney,', '3University of Cambridge', 'Terrain']"
Supporting Serendipitous Social Interaction Using Human Mobility Prediction,2015,IEEE Transactions on Human-Machine Systems,"Zhiwen Yu1, Hui Wang1, Bin Guo1, Tao Gu2, Tao Mei3","['2RMIT University,', '3Microsoft', 'Usability']"
Prediction of surface mobility of a finite plate with uniform force excitation by structural intensity,2000,Applied Acoustics,"Y.J. Li, J.C.S. Lai","['Vibration', 'Harmonic', 'Finite element method']"
Handoff prediction by mobility characteristics in wireless broadband networks,2005,"World of Wireless, Mobile and Multimedia Networks","Li-Liann Lu, Jean-Lien C. Wu","['Wireless broadband', 'Resource allocation', 'Real-time computing']"
Entropy-based knowledge spreading and application to mobility prediction,2005,Conference on Emerging Network Experiment and Technology,"Jean-Marc FranÃ§ois, Guy Leduc","['Wireless network', 'Real-time computing', 'Quality of service']"
Big Data Driven Hidden Markov Model Based Individual Mobility Prediction at Points of Interest,2017,IEEE Transactions on Vehicular Technology,"Qiujian Lv1, Yuanyuan Qiao1, Nirwan Ansari2, Jun Liu1, Jie Yang1","['2New Jersey Institute of Technology', 'Warning system', 'Point of interest']"
Methods and Systems for Admission Control and Resource Availability Prediction Considering User Equipment (UE) Mobility,2013,Arxiv,"Gamini Senarath, Ho Ting Cheng, Hang Zhang, Alex Stephenne","['Wireless network', 'User equipment', 'Provisioning']"
Edge caching with mobility prediction in virtualized LTE mobile networks,2017,Future Generation Computer Systems,"AndrÃ© SÃ©rgio Nobre Gomes1, 2, Bruno Sousa3, David Palma1, 3, Vitor Fonseca4, Zhongliang Zhao2","['1University of Coimbra,', '2University of Bern,', '3Norwegian University of Science and Technology,']"
Prediction of protein-DNA complex mobility in gel-free capillary electrophoresis.,2015,Analytical Chemistry,"Jiayin Bao, Svetlana M. Krylova, Leonid T. Cherney, Robert L. Hale, Svetlana L. Belyanskaya","['Small molecule', 'Protein-DNA complex', 'Oligonucleotide']"
Vertical handover based on the prediction of mobility of mobile node,2010,IEEE International Conference on Pervasive Computing and Communications,"Bo Yle Jung1, Min Seok Choi1, Hee Yong Youn1, Ohyoung Song2","['2Chung-Ang University', 'Wireless', 'Vertical handover']"
A novel call admission control policy using mobility prediction and throttle mechanism for supporting QoS in wireless cellular networks,2011,Journal of Control Science and Engineering,"Chen-Feng Wu1, Liang-Teh Lee2, Hung-Yuan Chang2, Der-Fu Tao3","['2Tatung University,', '3Department of Electronic Engineering, Technology and Science Institute of Northern Taiwan, Taipei, Taiwan', 'Real-time computing']"
Mobility Prediction Based on Machine Learning,2011,Mobile Data Management,"Theodoros Anagnostopoulos, Christos Anagnostopoulos, Stathes Hadjiefthymiades","['Ubiquitous computing', 'Supervised learning', 'Sample size determination']"
A Mobility-based Prediction Algorithm for Vertical Handover in Hybrid Wireless Networks,2007,Arxiv,"Inwhee Joe, Sungchan Hong","['Wireless network', 'Vertical handover', 'Residence time']"
An evidence-based mobility prediction agent architecture,2003,Lecture Notes in Computer Science,"Nancy Samaan, Ahmed Karmouch","['Wireless network', 'Spatial analysis', 'Quality of service']"
First-principles study of photovoltaics and carrier mobility for non-toxic halide perovskite CH3NH3SnCl3: theoretical prediction,2016,Physical Chemistry Chemical Physics,"Lin-Zhi Wang1, Yu-Qing Zhao1, Biao Liu1, Li-Juan Wu1, Meng-Qiu Cai1, 2","['2Hunan Normal University', 'van der Waals force', 'Perovskite (structure)']"
Simulation of a Mobility Prediction Scheme Based on Neuro-Fuzzy Theory in Mobile Computing:,2000,Simulation,"Joon-Min Gil, Chan Yeol Park, Chong-Sun Hwang, Youn-Hee Han, Young-Sik Jeong","['Real-time computing', 'Neuro-fuzzy', '+8']"
Realistic mobility pattern generator: design and application in path prediction algorithm evaluation,2002,"Personal, Indoor and Mobile Radio Communications","Nikolaos Frangiadakis, Miltiadis Kyriakakos, Stathes Hadjiefthymiades, Lazaros F. Merakos","['Theoretical computer science', 'Real-time computing', 'Mobility model']"
Mobility Prediction Based Joint Stable Routing and Channel Assignment for Mobile Ad Hoc Cognitive Networks,2016,IEEE Transactions on Parallel and Distributed Systems,"Feilong Tang1, Minyi Guo1, Song Guo2, Cheng Zhong Xu3","['2University of Aizu,', '3Wayne State University', 'Routing protocol']"
An Application of Markov Jump Process Model for Activity-Based Indoor Mobility Prediction in Wireless Networks,2011,Frontiers of Information Technology,"Joanna Kolodziej1, Samee Ullah Khan2, Lizhe Wang3, Nasro Min-Allah4, Sajjad Ahmad Madani4","['1University of Bielsko-BiaÅ‚a,', '2North Dakota State University,', '3Indiana University Bloomington,']"
Dynamic resource allocation exploiting mobility prediction in mobile edge computing,2016,"Personal, Indoor and Mobile Radio Communications","Jan Plachy1, Zdenek Becvar1, Emilio Calvanese Strinati2","['2CEA-Leti, 17 rue des Martyrs, 38000 Grenoble, France', 'Virtual machine', 'Resource allocation']"
Collision cross section prediction of deprotonated phenolics in a travelling-wave ion mobility spectrometer using molecular descriptors and chemometrics,2016,Analytica Chimica Acta,"Gerard Bryan Gonzales, Guy Smagghe, Sofie Coelus, Dieter Adriaenssens, Karel De Winter","['Ghent University', 'Shadow', 'Principal component regression']"
Optimized Routing Based on Mobility Prediction in Wireless Mobile Adhoc Networks for Urban Area,2008,International Conference on Information Technology: New Generations,"Mohsen Chegin1, Mahmood Fathy2","['2Iran University of Science and Technology', 'Wireless ad hoc network', 'Throughput']"
